year,px,py,tachid,ekid
2006,139.3665101,35.7362182,6.750013803,1.167643516
2007,139.3665101,35.7362182,6.750013803,1.167643516
2008,139.3665101,35.7362182,6.750013803,1.167643516
1999,139.3705627,35.64592075,7.501878676,0.625866685
2000,139.3705627,35.64592075,7.501878676,0.625866685
2001,139.3705627,35.64592075,7.501878676,0.625866685
2002,139.3705627,35.64592075,7.501878676,0.625866685
2003,139.3705627,35.64592075,7.501878676,0.625866685
2004,139.3705627,35.64592075,7.501878676,0.625866685
2005,139.3705627,35.64592075,7.501878676,0.625866685
2006,139.3705627,35.64592075,7.501878676,0.625866685
2007,139.3705627,35.64592075,7.501878676,0.625866685
2008,139.3705627,35.64592075,7.501878676,0.625866685
1999,139.3705627,35.64984673,7.172033237,0.940991319
2000,139.3705627,35.64984673,7.172033237,0.940991319
2001,139.3705627,35.64984673,7.172033237,0.940991319
2002,139.3705627,35.64984673,7.172033237,0.940991319
2003,139.3705627,35.64984673,7.172033237,0.940991319
2004,139.3705627,35.64984673,7.172033237,0.940991319
2005,139.3705627,35.64984673,7.172033237,0.940991319
2006,139.3705627,35.64984673,7.172033237,0.940991319
2007,139.3705627,35.64984673,7.172033237,0.940991319
2008,139.3705627,35.64984673,7.172033237,0.940991319
1999,139.3705627,35.6537727,6.854031813,1.260025267
2000,139.3705627,35.6537727,6.854031813,1.260025267
2001,139.3705627,35.6537727,6.854031813,1.260025267
2002,139.3705627,35.6537727,6.854031813,1.260025267
2003,139.3705627,35.6537727,6.854031813,1.260025267
2004,139.3705627,35.6537727,6.854031813,1.260025267
2005,139.3705627,35.6537727,6.854031813,1.260025267
2006,139.3705627,35.6537727,6.854031813,1.260025267
2007,139.3705627,35.6537727,6.854031813,1.260025267
2008,139.3705627,35.6537727,6.854031813,1.260025267
1999,139.3705627,35.65769868,6.549599813,1.228533325
2000,139.3705627,35.65769868,6.549599813,1.228533325
2001,139.3705627,35.65769868,6.549599813,1.228533325
2002,139.3705627,35.65769868,6.549599813,1.228533325
2003,139.3705627,35.65769868,6.549599813,1.228533325
2004,139.3705627,35.65769868,6.549599813,1.228533325
2005,139.3705627,35.65769868,6.549599813,1.228533325
2006,139.3705627,35.65769868,6.549599813,1.228533325
2007,139.3705627,35.65769868,6.549599813,1.228533325
2008,139.3705627,35.65769868,6.549599813,1.228533325
1999,139.3705627,35.66162465,6.26071702,1.163288757
2000,139.3705627,35.66162465,6.26071702,1.163288757
2001,139.3705627,35.66162465,6.26071702,1.163288757
2002,139.3705627,35.66162465,6.26071702,1.163288757
2003,139.3705627,35.66162465,6.26071702,1.163288757
2004,139.3705627,35.66162465,6.26071702,1.163288757
2005,139.3705627,35.66162465,6.26071702,1.163288757
2006,139.3705627,35.66162465,6.26071702,1.163288757
2007,139.3705627,35.66162465,6.26071702,1.163288757
2008,139.3705627,35.66162465,6.26071702,1.163288757
1999,139.3705627,35.72836625,5.864861362,0.262758556
2000,139.3705627,35.72836625,5.864861362,0.262758556
2001,139.3705627,35.72836625,5.864861362,0.262758556
2002,139.3705627,35.72836625,5.864861362,0.262758556
2003,139.3705627,35.72836625,5.864861362,0.262758556
2004,139.3705627,35.72836625,5.864861362,0.262758556
2005,139.3705627,35.72836625,5.864861362,0.262758556
2006,139.3705627,35.72836625,5.864861362,0.262758556
2007,139.3705627,35.72836625,5.864861362,0.262758556
2008,139.3705627,35.72836625,5.864861362,0.262758556
1999,139.3705627,35.73229223,6.12638356,0.685897628
2000,139.3705627,35.73229223,6.12638356,0.685897628
2001,139.3705627,35.73229223,6.12638356,0.685897628
2002,139.3705627,35.73229223,6.12638356,0.685897628
2003,139.3705627,35.73229223,6.12638356,0.685897628
2004,139.3705627,35.73229223,6.12638356,0.685897628
2005,139.3705627,35.73229223,6.12638356,0.685897628
2006,139.3705627,35.73229223,6.12638356,0.685897628
2007,139.3705627,35.73229223,6.12638356,0.685897628
2008,139.3705627,35.73229223,6.12638356,0.685897628
1999,139.3705627,35.7362182,6.406899914,1.11878654
2000,139.3705627,35.7362182,6.406899914,1.11878654
2001,139.3705627,35.7362182,6.406899914,1.11878654
