px,py,tachid,ekid
139.4110887,35.71658832,2.093652376,0.712050629
139.4151413,35.71658832,2.078669118,0.334743647
139.4191939,35.71658832,2.159411925,0.25385565
139.4232465,35.71658832,2.325932922,0.479309779
139.4272991,35.71658832,2.561557648,0.894283271
139.4354043,35.71658832,3.1747336,1.775916827
139.4394569,35.71658832,3.527701186,1.899622268
139.4435095,35.71658832,3.900657305,1.957410523
139.3948783,35.71266235,2.657784006,1.025310716
139.3989309,35.71266235,2.320013518,1.184164124
139.4029835,35.71266235,2.026282102,1.178721059
139.4070361,35.71266235,1.798300621,0.750990016
139.4110887,35.71266235,1.663328176,0.378547494
139.4151413,35.71266235,1.64442867,0.278705893
139.4191939,35.71266235,1.745376811,0.29567502
139.4232465,35.71266235,1.9476253,0.708434889
139.4272991,35.71266235,2.223703653,1.099076704
139.4435095,35.71266235,3.687601898,1.529269515
139.3989309,35.70873637,2.03606418,0.842734221
139.4029835,35.70873637,1.693786816,1.151554719
139.4070361,35.70873637,1.413145337,0.707588114
139.4110887,35.70873637,1.236832746,0.282830585
139.4151413,35.70873637,1.211296938,0.253011605
139.4191939,35.70873637,1.345152346,0.657922223
139.4232465,35.70873637,1.598855506,0.920498738
139.4272991,35.70873637,1.925604465,1.290923597
139.4313517,35.70873637,2.294400948,1.700105607
139.3948783,35.70481039,2.22930916,0.216769279
139.3989309,35.70481039,1.813412868,0.630849847
139.4029835,35.70481039,1.418387347,1.074087366
139.4070361,35.70481039,1.067655671,0.857074501
139.4110887,35.70481039,0.820161039,0.612214051
139.4151413,35.70481039,0.781120451,0.616866335
139.4191939,35.70481039,0.975880998,0.877072027
139.4232465,35.70481039,1.303552,1.225445434
139.4272991,35.70481039,1.688449419,1.279965126
139.4313517,35.70481039,2.09932956,1.476351742
139.3948783,35.70088442,2.119561862,0.338487447
139.3989309,35.70088442,1.676660189,0.682316907
139.4029835,35.70088442,1.238767865,1.085188682
139.4070361,35.70088442,0.814009698,0.64277079
139.4110887,35.70088442,0.442026341,0.231048983
139.4151413,35.70088442,0.364516551,0.30912601
139.4191939,35.70088442,0.689250955,0.629610742
139.4232465,35.70088442,1.105427959,0.790865225
139.3908257,35.69695844,2.545808819,0.784665391
139.3948783,35.69695844,2.096444588,0.749648486
139.3989309,35.69695844,1.647339314,0.955487028
139.4029835,35.69695844,1.198784071,1.058227582
139.4070361,35.69695844,0.751764068,0.621015504
139.4110887,35.69695844,0.312929244,0.186754855
139.4151413,35.69695844,0.188174764,0.112752103
139.4191939,35.69695844,0.614495162,0.546428593
139.4232465,35.69695844,1.060428403,0.359212144
139.4272991,35.69695844,1.508682215,0.515390701
139.4313517,35.69695844,1.957663195,0.898293559
139.3908257,35.69303246,2.600671882,1.201213197
139.3948783,35.69303246,2.162737064,1.178637443
139.3989309,35.69303246,1.7309184,1.203481105
139.4029835,35.69303246,1.311272261,0.78563176
139.4070361,35.69303246,0.920598125,0.436780593
139.4110887,35.69303246,0.616665555,0.385366967
139.4151413,35.69303246,0.563703323,0.449927051
139.4191939,35.69303246,0.812376759,0.529649426
139.4232465,35.69303246,1.186111332,0.111414511
139.4272991,35.69303246,1.599522966,0.386014772
139.3786679,35.68910649,4.0139887,1.18698138
139.3827205,35.68910649,3.579373417,1.621399208
139.3867731,35.68910649,3.149036736,1.377623586
139.3908257,35.68910649,2.725006459,1.19527189
139.3948783,35.68910649,2.310756926,1.167995107
139.3989309,35.68910649,1.912653777,1.151326489
139.4029835,35.68910649,1.543243631,0.703138093
139.4070361,35.68910649,1.228685017,0.260697531
139.4110887,35.68910649,1.021000671,0.215018044
139.4151413,35.68910649,0.989912824,0.655142617
139.4191939,35.68910649,1.149835624,0.737375489
139.4232465,35.68910649,1.438410948,0.524983134
139.3786679,35.68518051,4.141749089,1.133683251
139.3827205,35.68518051,3.722081983,1.397301817
139.3867731,35.68518051,3.310349316,1.03854272
139.3908257,35.68518051,2.909921035,0.780640205
139.3948783,35.68518051,2.526178498,0.738198353
139.3989309,35.68518051,2.168000162,0.940842186
139.4029835,35.68518051,1.850292176,0.866835257
139.4070361,35.68518051,1.597387587,0.5700556
139.4110887,35.68518051,1.443752957,0.550665909
139.4151413,35.68518051,1.421937984,0.82837916
139.4191939,35.68518051,1.53756372,1.089371828
139.3786679,35.68125454,4.30997448,1.241517177
139.3827205,35.68125454,3.908412567,1.23003694
139.3867731,35.68125454,3.518551846,0.799443237
139.3908257,35.68125454,3.144747197,0.412234928
139.3948783,35.68125454,2.793451683,0.324769633
139.3989309,35.68125454,2.474271449,0.667624539
139.4029835,35.68125454,2.201221397,0.761905222
139.4070361,35.68125454,1.993349343,0.408096328
139.4110887,35.68125454,1.872489547,0.396604577
139.4151413,35.68125454,1.855721459,0.743476496
139.4191939,35.68125454,1.945738085,1.105763144
139.3786679,35.67732856,4.514143195,1.475569841
139.3827205,35.67732856,4.1324687,1.205547034
139.3867731,35.67732856,3.765875179,0.761224188
139.3908257,35.67732856,3.419216826,0.332100002
139.3948783,35.67732856,3.09919039,0.214074964
139.3989309,35.67732856,2.814893954,0.62134958
139.4029835,35.67732856,2.578174627,0.692629903
139.4070361,35.67732856,2.403133449,0.256474616
139.4110887,35.67732856,2.30387193,0.237764183
139.4151413,35.67732856,2.290264374,0.672304928
139.4191939,35.67732856,2.363790486,0.671587495
139.4232465,35.67732856,2.516825293,0.766071149
139.3746153,35.67340258,5.124823176,1.326530801
139.3786679,35.67340258,4.749622282,1.577596128
139.3827205,35.67340258,4.388475885,1.331732216
139.3867731,35.67340258,4.045150047,0.948487907
139.3908257,35.67340258,3.724576048,0.656092566
139.3948783,35.67340258,3.433133279,0.604975317
139.3989309,35.67340258,3.178844289,0.840382261
139.4029835,35.67340258,2.971263611,0.871083846
139.4070361,35.67340258,2.820722144,0.587222371
139.4110887,35.67340258,2.736649212,0.579294995
139.4151413,35.67340258,2.725203468,0.57274423
139.4191939,35.67340258,2.787279767,0.243231709
139.4232465,35.67340258,2.918189952,0.441584541
139.3746153,35.66947661,5.368896524,1.245099422
139.3786679,35.66947661,5.012000512,1.153718344
139.3827205,35.66947661,4.67118378,1.118858244
139.3867731,35.66947661,4.350227145,1.255918412
139.3908257,35.66947661,4.053850521,1.063220941
139.3948783,35.66947661,3.787828061,1.032461354
139.3989309,35.66947661,3.55897293,1.185843016
139.4029835,35.66947661,3.374854775,1.190652015
139.4070361,35.66947661,3.243102021,1.001845929
139.4110887,35.66947661,3.170250182,0.829968853
139.4151413,35.66947661,3.160375175,0.562122872
139.4191939,35.66947661,3.21405753,0.217043393
139.4232465,35.66947661,3.328223235,0.427718456
139.4272991,35.66947661,3.496953464,0.850580891
139.4313517,35.66947661,3.712816544,1.291798034
139.3746153,35.66555063,5.636142428,1.018365619
139.3786679,35.66555063,5.297282389,0.743731643
139.3827205,35.66555063,4.976043557,0.688414491
139.3867731,35.66555063,4.676059001,0.894092723
139.3908257,35.66555063,4.401676456,1.171779886
139.3948783,35.66555063,4.157967411,1.183524599
139.3989309,35.66555063,3.950612597,1.353921114
139.4029835,35.66555063,3.785590618,1.180328981
139.4070361,35.66555063,3.668618581,0.76501987
139.4110887,35.66555063,3.604377587,0.42666595
139.4151413,35.66555063,3.59569504,0.428417781
139.4191939,35.66555063,3.642968211,0.644102688
139.4232465,35.66555063,3.744078188,0.742094008
139.4272991,35.66555063,3.894834413,1.014019492
139.4313517,35.66555063,4.089750391,0.907498721
139.3665101,35.66162465,6.61142174,0.916677922
139.3705627,35.66162465,6.26071702,1.163288757
139.3746153,35.66162465,5.923425302,0.799345697
139.3786679,35.66162465,5.601969881,0.393728035
139.3827205,35.66162465,5.299233466,0.275317127
139.3867731,35.66162465,5.018604749,0.633472025
139.3908257,35.66162465,4.763992177,0.745526754
139.3948783,35.66162465,4.539775197,0.763853726
139.3989309,35.66162465,4.350655783,1.007891077
139.4029835,35.66162465,4.201376224,1.117124546
139.4070361,35.66162465,4.09629444,0.676952883
139.4110887,35.66162465,4.038861676,0.234635113
139.4151413,35.66162465,4.031115065,0.038575255
139.4191939,35.66162465,4.073338094,0.441005152
139.4232465,35.66162465,4.164010966,0.890052004
139.4272991,35.66162465,4.300069877,0.653605537
139.4313517,35.66162465,4.477379156,0.471718769
139.4354043,35.66162465,4.691263881,0.650035789
139.3624575,35.65769868,7.233989694,1.289223424
139.3665101,35.65769868,6.885606548,1.330537419
139.3705627,35.65769868,6.549599813,1.228533325
139.3746153,35.65769868,6.227972979,0.78781522
139.3786679,35.65769868,5.923069024,0.369758088
139.3827205,35.65769868,5.637601923,0.23978907
139.3867731,35.65769868,5.37466964,0.618858696
139.3908257,35.65769868,5.137733117,0.344044254
139.3948783,35.65769868,4.930541446,0.382137179
139.3989309,35.65769868,4.756982852,0.760526614
139.4029835,35.65769868,4.620848654,0.905113535
139.4070361,35.65769868,4.525517457,0.495470369
139.4110887,35.65769868,4.473598523,0.27651545
139.4151413,35.65769868,4.466605957,0.398772336
139.4191939,35.65769868,4.504748976,0.593310096
139.4232465,35.65769868,4.586901725,0.902978553
139.4272991,35.65769868,4.710762259,0.453849242
139.4313517,35.65769868,4.873151364,0.036021289
139.4354043,35.65769868,5.070368518,0.448693062
139.4394569,35.65769868,5.298526128,0.897810073
139.3624575,35.6537727,7.510732406,1.277961525
139.3665101,35.6537727,7.17579765,1.222192827
139.3705627,35.6537727,6.854031813,1.260025267
139.3746153,35.6537727,6.547376712,0.926313151
139.3786679,35.6537727,6.258054094,0.705857344
139.3827205,35.6537727,5.98857661,0.647311629
139.3867731,35.6537727,5.74173912,0.661652615
139.3908257,35.6537727,5.520579314,0.24644883
139.3948783,35.6537727,5.328295537,0.297320367
139.3989309,35.6537727,5.168111863,0.721644863
139.4029835,35.6537727,5.043088009,0.549364396
139.4070361,35.6537727,4.955885656,0.443360367
139.4110887,35.6537727,4.908520972,0.165946746
139.4151413,35.6537727,4.902148831,0.513047524
