year,px,py,y,tachid,ekid,city
2000,139.42258,35.65627,12.25008953,4.725869983,0.928057236,Hino
2000,139.40679,35.65639,12.35017299,4.673288794,0.451047652,Hino
2000,139.41792,35.6567,12.2010601,4.598410086,0.725258728,Hino
2000,139.42679,35.65681,12.42520818,4.786407992,0.455546073,Hino
2000,139.43359,35.65784,12.48370438,4.964038548,0.309927934,Hino
2000,139.43101,35.65801,12.86876062,4.825886077,0.058869086,Hino
2000,139.39728,35.65984,12.45293272,4.603850011,0.673308148,Hino
2000,139.36708,35.65986,12.47609978,6.683283049,1.15009398,Hino
2000,139.42729,35.66033,12.52815614,4.435196608,0.501759246,Hino
2000,139.37987,35.66123,13.24634936,5.542814311,0.276559917,Hino
2000,139.38808,35.66161,12.50246666,4.934980697,0.870410438,Hino
2000,139.41222,35.66202,13.32937755,3.987654222,0.19544363,Hino
2000,139.3758,35.66297,12.61153775,5.725000127,0.697294158,Hino
2000,139.39014,35.66496,12.5098741,4.499335538,1.095791219,Hino
2000,139.42009,35.66544,12.35449265,3.672520179,0.686212303,Hino
2000,139.4051,35.66762,12.31043266,3.49692487,1.175910083,Hino
2000,139.37742,35.66859,12.55672952,5.181498603,1.140320128,Hino
2000,139.38659,35.66871,12.62806706,4.426616371,1.293153997,Hino
2000,139.4113,35.66887,12.43718437,3.234730122,0.833445688,Hino
2000,139.38568,35.67143,12.55320218,4.283079152,1.262090293,Hino
2000,139.37442,35.67324,12.38421883,5.153181749,1.269621056,Hino
2000,139.39344,35.67349,12.59133505,3.525634027,0.649683925,Hino
2000,139.40329,35.67395,12.42118403,2.902065889,0.794704279,Hino
2000,139.39707,35.67664,12.59473064,3.000175768,0.467006415,Hino
2000,139.40814,35.67797,12.42520818,2.299039737,0.093649748,Hino
2000,139.41365,35.67847,12.42118403,2.158742655,0.533903863,Hino
2000,139.38561,35.67893,12.4049235,3.767290791,0.916043637,Hino
2000,139.3795,35.67897,12.44114477,4.343140209,1.390477288,Hino
2000,139.40139,35.67907,12.47227569,2.501423933,0.833795231,Hino
2000,139.40979,35.67996,12.39255221,2.040936732,0.199395472,Hino
2000,139.37986,35.68166,12.30138283,4.171090577,1.298979346,Hino
2000,139.39217,35.68289,12.47609978,2.917836472,0.439581745,Hino
2000,139.3987,35.68385,12.53896706,2.285711756,0.741155151,Hino
2000,139.41737,35.68862,12.62148808,1.107124252,0.901817006,Tachi
2000,139.41401,35.68876,12.63460303,1.016958844,0.533101249,Tachi
2000,139.39375,35.69061,12.35449265,2.362253917,1.25766089,Tachi
2000,139.42746,35.69065,12.61153775,1.723400636,0.481787417,Tachi
2000,139.40508,35.69071,12.60819885,1.2510272,0.486702172,Tachi
2000,139.41362,35.69172,12.85839783,0.688151324,0.504731477,Tachi
2000,139.41634,35.69206,12.76568843,0.710552507,0.633249829,Tachi
2000,139.40322,35.69287,12.65395847,1.29491466,0.755717967,Tachi
2000,139.40986,35.69363,12.82125828,0.641113193,0.401061861,Tachi
2000,139.42115,35.69431,12.74256602,0.914864163,0.341143032,Tachi
2000,139.42829,35.69469,12.63785506,1.654333991,0.496834472,Tachi
2000,139.38999,35.69632,12.39255221,2.642699738,0.913259537,Tachi
2000,139.397,35.69794,12.51355735,1.858697241,0.656966446,Tachi
2000,139.40309,35.69938,12.62148808,1.193670645,1.058399002,Tachi
2000,139.41826,35.70108,12.80215811,0.611830855,0.656387585,Tachi
2000,139.42504,35.70302,12.61486554,1.376074652,1.086427023,Tachi
2000,139.42044,35.70723,12.66349749,1.273483482,0.845824415,Tachi
2000,139.42972,35.70953,12.52815614,2.193258348,1.49189825,Tachi
2000,139.42324,35.71209,12.74548573,1.894338137,0.715784326,Tachi
2000,139.42545,35.71222,12.56723749,2.052512039,0.94510359,Tachi
2000,139.44268,35.71716,12.49125159,3.857458973,1.985093688,Tachi
2000,139.4276,35.71816,12.54254488,2.723666024,0.878196123,Tachi
2000,139.42044,35.71926,12.55672952,2.483745954,0.111968483,Tachi
2000,139.44556,35.72172,12.46458334,4.410557011,1.720676501,Tachi
2000,139.38087,35.72201,12.27839331,4.523735767,1.277306554,Tachi
2000,139.42283,35.72279,12.56374709,2.939390561,0.526131536,Tachi
2000,139.40605,35.72285,12.21106019,2.896955899,1.343352408,Tachi
2000,139.39037,35.72309,12.25008953,3.813258934,0.708744481,Tachi
2000,139.43062,35.72364,12.50246666,3.415551406,1.171548585,Tachi
2000,139.38087,35.72479,12.28303369,4.713086187,1.197638534,Tachi
2000,139.38715,35.72656,12.47227569,4.338474099,0.699467115,Tachi
2000,139.4025,35.72707,12.30591798,3.468120949,1.078940787,Tachi
2000,139.37356,35.7276,12.37158708,5.54479588,0.40206151,Tachi
2000,139.38946,35.72802,12.38002595,4.293898296,0.404331315,Tachi
2000,139.4121,35.72901,12.49125159,3.456138707,0.709482529,Tachi
2000,139.42085,35.72945,12.51722707,3.588199756,0.436425837,Tachi
2000,139.40384,35.73326,12.36734079,4.073982624,1.302317817,Tachi
2000,139.36231,35.73385,12.18586994,6.964329918,1.220284258,Tachi
2000,139.43467,35.73462,12.88156489,4.690082173,0.1576707,HigashiYamato
2000,139.43296,35.73516,12.39669301,4.652671108,0.309723106,HigashiYamato
2000,139.44645,35.73537,12.32385568,5.520064478,1.301313715,HigashiYamato
2000,139.43976,35.73697,12.37158708,5.208844965,0.676943842,HigashiYamato
2000,139.44905,35.73795,12.26434155,5.925149362,1.601338667,HigashiYamato
2000,139.44304,35.73868,12.32829028,5.572157545,1.084623647,HigashiYamato
2000,139.42702,35.73884,12.38002595,4.775925523,1.08234939,HigashiYamato
2000,139.43345,35.74015,12.33710091,5.173607573,0.78893459,HigashiYamato
2000,139.44935,35.74018,12.36734079,6.1343275,1.603892337,HigashiYamato
2000,139.43884,35.7412,12.32385568,5.553354569,0.986102558,HigashiYamato
2000,139.41458,35.74192,12.35017299,4.885713307,0.419048865,HigashiYamato
2000,139.44397,35.74348,12.29682701,6.068980215,1.402410737,HigashiYamato
2000,139.43483,35.74378,12.36307639,5.604054454,1.174904868,HigashiYamato
2000,139.43814,35.74458,12.31043266,5.845227368,1.312047141,HigashiYamato
2000,139.43305,35.7449,12.22096126,5.638571447,1.316086925,HigashiYamato
2000,139.42231,35.74522,12.21106019,5.336456665,0.71886231,HigashiYamato
2000,139.43133,35.74798,12.14950229,5.890453852,1.691047705,HigashiYamato
2000,139.4119,35.74836,12.25008953,5.602973386,0.54392039,HigashiYamato
2000,139.42837,35.74894,12.15477935,5.8923222,1.44436928,HigashiYamato
2000,139.44665,35.75041,12.25008953,6.877092195,0.683488315,HigashiYamato
2000,139.43454,35.75077,12.18075484,6.304347091,1.234001046,HigashiYamato
2000,139.41425,35.75108,12.17561344,5.901576484,0.647391857,HigashiYamato
2000,139.42512,35.75174,12.12269104,6.106661768,1.243760426,HigashiYamato
2000,139.42061,35.75209,12.1281111,6.062010706,0.905688698,HigashiYamato
2000,139.43916,35.75218,12.21106019,6.652022404,0.714457397,HigashiYamato
2000,139.44237,35.75404,12.26904744,6.993562621,0.309493788,HigashiYamato
2000,139.41459,35.7547,12.08390501,6.303875573,1.034964023,HigashiYamato
2000,139.42414,35.75503,12.08953883,6.443685893,1.405823793,HigashiYamato
2000,139.43279,35.75815,12.13350195,7.012764465,1.298908101,HigashiYamato
2000,139.41362,35.75829,12.03171926,6.701960358,1.446751517,HigashiYamato
2001,139.43363,35.60971,12.30591798,10.0358845,1.961915856,Tama
2001,139.42702,35.60976,12.3883942,9.895486593,1.606546193,Tama
2001,139.41933,35.61197,12.37581542,9.560340525,0.994412558,Tama
2001,139.4074,35.61498,12.42520818,9.232442202,0.592015976,Tama
2001,139.44411,35.61717,12.31043266,9.575917349,1.492784353,Tama
2001,139.42756,35.61784,12.40081672,9.019616199,0.834288377,Tama
2001,139.41468,35.61871,12.5098741,8.792288556,0.31791956,Tama
2001,139.43864,35.62615,12.36307639,8.431274191,1.232215481,Tama
2001,139.46241,35.628,12.35449265,9.456190817,1.010689694,Tama
2001,139.44328,35.62849,12.3883942,8.374227224,0.666191493,Tama
2001,139.45516,35.62957,12.49500394,8.870758085,0.648447166,Tama
2001,139.46066,35.63068,12.21602298,9.100194317,1.261931106,Tama
2001,139.4338,35.6309,12.47227569,7.76430875,1.129350706,Tama
2001,139.4515,35.63122,12.37158708,8.507310247,0.279269433,Tama
2001,139.43509,35.63162,12.54610995,7.73103476,1.293128393,Tama
2001,139.46403,35.63273,12.17561344,9.138366931,1.517111001,Tama
2001,139.42952,35.63435,12.29225034,7.269131641,0.880617322,Tama
2001,139.45043,35.63596,12.4049235,7.992201042,0.68170609,Tama
2001,139.44075,35.63677,12.32385568,7.419796831,1.223010472,Tama
2001,139.43112,35.63707,12.27839331,7.023423579,1.177240351,Tama
2001,139.43652,35.63894,12.21602298,7.01737245,1.691258099,Tama
2001,139.46658,35.63991,12.19095901,8.709569593,2.216571437,Tama
2001,139.44014,35.64023,12.24529336,7.042032643,1.34283032,Tama
